Record_ID,First_Name,Last_Name,Date_of_Birth,NIN,Phone_Number,Label
SIM_46717,Ruth,Ibrahim,1985-12-27,53009351980,+2349121510258,Anomaly_NIN
SIM_54883,Daniel,Okonkwo,03-11-1995,13064999718,+2347093225430,Anomaly_Format
SIM_10430,Esther,Adeyemi,1984-10-25,55290680319,+2348170444055,Normal
SIM_10046,Angela,Ekwueme,1981-05-20,95718103993,+2348198963033,Normal
SIM_10526,Victoria,Olawale,1955-01-12,90428196192,+2349187960219,Normal
SIM_10147,Benjamin,Chukwu,1969-06-11,85351635939,+2348006611349,Normal
SIM_10271,Hope,Abiola,1969-07-10,25803600856,+2349067507644,Normal
SIM_10356,Comfort,Eze,1964-12-23,96526798908,+2347060240626,Normal
SIM_10305,Samuel,Eze,1955-07-13,12842243182,+2348199674777,Normal
SIM_10252,Benjamin,Chukwu,1992-10-26,56184854410,+2348194729385,Normal
SIM_61259,Viatoria,Nnaman,1980-04-16,44577747317,+2349003350175,Anomaly_Fuzzy
SIM_10214,Sarah,Ojo,1967-11-23,24912132471,+2347038268604,Normal
SIM_52602,Philip,Oyekan,1962-06-07,55410656411,+2349052276626,Anomaly_Exact
SIM_10397,Simon,Okafor,1996-03-11,12954133846,+2349166962404,Normal
SIM_10205,Gabriel,Oshodi,1976-01-02,67231075747,+2348065200750,Normal
SIM_10654,Paul,Uche,1974-08-02,20947104551,+2348170693687,Normal
SIM_10630,Gabriel,Balogun,1975-12-14,26278094890,+2347055259767,Normal
SIM_40191,Gloria,Eze,2001-12-05,68532318949,+2349017753635,Anomaly_Exact
SIM_40344,Comfor,Chukw,1948-10-26,83297184780,+2349160419791,Anomaly_Fuzzy
SIM_73191,Ruth,Abiola,14-09-2000,87186701202,+2347072622737,Anomaly_Format
SIM_10405,Joshua,Obi,1957-04-16,13671593309,+2349053292766,Normal
SIM_10686,Joshua,Akinwale,1965-05-14,52111571247,+2348082637447,Normal
SIM_32594,Daniel,Balogun,1962-03-16,66478326118,+2349053841439,Anomaly_Identity_Mismatch
SIM_10140,Deborah,Akinwale,1946-01-13,85329029772,+2348035545207,Normal
SIM_20190,Esther,Oyekan,1977-05-09,99660655169,+2349066623598,Anomaly_NIN
SIM_10120,Faith,Obasanjo,1952-03-07,37549404829,+2349128221252,Normal
SIM_10587,Joseph,Ogunleye,1993-12-26,28671286174,+2349042141882,Normal
SIM_10240,Peter,Okonkwo,1962-03-16,66478326118,+2349053841439,Normal
SIM_10190,Peter,Okafor,1977-09-16,94081591950,+2347029665145,Normal
SIM_10578,Esther,Adeyemi,1949-04-01,92989885695,+2348085117187,Normal
SIM_10044,Gabriel,Ojo,1985-12-17,49917144203,+2347007059050,Normal
SIM_10201,Angela,Ogunleye,1996-10-08,77995658809,+2348141223130,Normal
SIM_76645,Victoria,Ibrahim,2001-07-06,27929130899,+2348040091844,Anomaly_Exact
SIM_10262,Nathaniel,Oyekan,2000-05-16,72453519088,+2349148543651,Normal
SIM_10177,James,Abiola,1973-12-27,22461000693,+2349043557114,Normal
SIM_10064,David,Akinwale,1997-06-28,92055210201,+2348095369735,Normal
SIM_42462,Emmanuel,Adeyemi,21-12-1977,75013881170,+2347065575248,Anomaly_Format
SIM_10025,Joy,Abiola,1990-12-25,18487421182,+2349109986285,Normal
SIM_10180,Comfort,Okonkwo,1966-01-20,78196874792,+2349104502424,Normal
SIM_10173,Grace,Oyekan,1966-09-27,37461602717,+2348108943762,Normal
SIM_80862,Peter,Oshodi,1960-07-06,84990374488,+2349118153582,Anomaly_Exact
SIM_10367,Blessing,Akinwale,1955-03-22,96577442871,+2348012624536,Normal
SIM_22207,Esther,Akinwale,1993-05-25,59264428157,+2348134647386,Anomaly_NIN
SIM_40630,Elizabeth,Okonkwo,11-12-1971,65480150641,+2347014051141,Anomaly_Format
SIM_10501,Grace,Ekwueme,1972-07-05,32551657540,+2349034132738,Normal
SIM_91901,Joshua,Eze,1989-05-06,42656047170,+2348047491909,Anomaly_Identity_Mismatch
SIM_10273,Angela,Balogun,1983-03-14,49758212621,+2347052787590,Normal
SIM_10157,Cornelius,Okafor,1960-07-18,84877323087,+2348095965741,Normal
SIM_57547,Joy,Ekwueme,1963-10-24,68646788555,+2348102533636,Anomaly_Exact
SIM_10338,Nathaniel,Obasanjo,1948-02-11,85082544062,+2347022544924,Normal
SIM_67333,Hope,Abiola,1960-10-16,34252106864,+2349007466505,Anomaly_NIN
SIM_10216,Samuel,Abiola,2002-01-20,57270651739,+2348173415923,Normal
SIM_10500,Esther,Okafor,1973-07-15,55138500903,+2347036782817,Normal
SIM_45725,Simon,Oshodi,1971-03-28,33751991993,+2349140319683,Anomaly_Identity_Mismatch
SIM_10681,Elizabeth,Ogunleye,1958-02-02,61555659474,+2348142829235,Normal
SIM_10678,Grace,Balogun,1953-11-05,95982337100,+2348134790223,Normal
SIM_56592,Stephen,Olawale,16-07-1998,70944596573,+2348181724132,Anomaly_Format
SIM_10034,Juliet,Ogunleye,1959-11-05,96680466838,+2348079773763,Normal
SIM_10561,Cornelius,Ogunleye,1960-06-15,67442180051,+2347081811945,Normal
SIM_10357,Esther,Oshodi,1953-08-22,22376755963,+2349188996448,Normal
SIM_10469,James,Obasanjo,1959-05-05,88434240733,+2348148235960,Normal
SIM_10313,Juliet,Oyekan,1949-06-23,98489055650,+2348197918401,Normal
SIM_77839,Deborah,Ibrahim,1959-04-15,46732324633,+2348006043747,Anomaly_Identity_Mismatch
SIM_29996,Juliet,Nnamani,1950-06-26,37464375863,+2349082144141,Anomaly_Identity_Mismatch
SIM_10029,Elizabeth,Balogun,2008-05-07,15825453957,+2347093344641,Normal
SIM_39420,Hop,Oshod,1970-05-17,85318762315,+2348086578872,Anomaly_Fuzzy
SIM_10077,Samuel,Okafor,1949-12-18,15955447835,+2349129196209,Normal
SIM_10230,Emmanuel,Olawale,1989-02-11,83077746305,+2348142793719,Normal
